"name","effect_level","spell_level","class","effect"
"Air Shield","Basic",3,"Air Magic","Target allied troop takes 25% less damage from ranged attacks."
"Air Shield","Advanced",3,"Air Magic","Target allied troop takes 50% less damage from ranged attacks."
"Air Shield","Expert",3,"Air Magic","All allied troops takes 50% less damage from ranged attacks."
"Animate Dead","Basic",3,"Earth Magic","Reanimates (30 + (power × 50)) health points worth of killed undead creatures in target, allied troop."
"Animate Dead","Advanced",3,"Earth Magic","Reanimates (60 + (power × 50)) health points worth of killed undead creatures in target, allied troop."
"Animate Dead","Expert",3,"Earth Magic","Reanimates (160 + (power × 50)) health points worth of killed undead creatures in target, allied troop."
"Anti-Magic","Basic",3,"Earth Magic","Target allied troop can only be affected by level 4 or 5 spells."
"Anti-Magic","Advanced",3,"Earth Magic","Target allied troop can only be affected by level 5 spells."
"Anti-Magic","Expert",3,"Earth Magic","Target allied troop is immune to spell effects."
"Armageddon","Basic",4,"Fire Magic","All troops take (30 + (power × 50)) points of damage."
"Armageddon","Advanced",4,"Fire Magic","All troops take (60 + (power × 50)) points of damage."
"Armageddon","Expert",4,"Fire Magic","All troops take (120 + (power × 50)) points of damage."
"Berserk","Basic",4,"Fire Magic","Target attacks nearest troop. 1 hex affected."
"Berserk","Advanced",4,"Fire Magic","Target attacks nearest troop. All creatures in a 2 hex radius affected."
"Berserk","Expert",4,"Fire Magic","Target attacks nearest troop. All creatures in a 3 hex radius affected."
"Bless","Basic",1,"Water Magic","Creatures in target allied troop inflict maximum damage when they attack."
"Bless","Advanced",1,"Water Magic","Creatures in target allied troop inflict maximum damage +1 when they attack."
"Bless","Expert",1,"Water Magic","All allied creatures inflict maximum damage +1 when they attack."
"Blind","Basic",2,"Fire Magic","Target enemy troop is frozen until attacked, dispelled or effect wears off. Deactivating attack is retaliated at 50% of base attack rating."
"Blind","Advanced",2,"Fire Magic","Target enemy troop is frozen until attacked, dispelled or effect wears off. Deactivating attack is retaliated at 25% of base attack rating."
"Blind","Expert",2,"Fire Magic","Target enemy troop is frozen until attacked, dispelled or effect wears off. Deactivating attack is not retaliated."
"Bloodlust","Basic",1,"Fire Magic","Target allied troop receives a +3 attack rating bonus for hand-to-hand attacks."
"Bloodlust","Advanced",1,"Fire Magic","Target allied troop receives a +6 attack rating bonus for hand-to-hand attacks."
"Bloodlust","Expert",1,"Fire Magic","All allied troops receive a +6 attack rating bonus for hand-to-hand attacks."
"Chain Lightning","Basic",4,"Air Magic","Lightning bolt strikes target troop for (25 + (power x 40)) damage. Bolt strikes four troops."
"Chain Lightning","Advanced",4,"Air Magic","Lightning bolt strikes target troop for (50 + (power x 40)) damage. Bolt strikes five troops."
"Chain Lightning","Expert",4,"Air Magic","Lightning bolt strikes target troop for (100 + (power x 40)) damage. Bolt strikes five troops."
"Clone","Basic",4,"Water Magic","Creates a duplicate of target allied troop level 1-5. The duplicate can attack but is dispelled if it receives any damage."
"Clone","Advanced",4,"Water Magic","Creates a duplicate of target allied troop level 1-6. The duplicate can attack but is dispelled if it receives any damage."
"Clone","Expert",4,"Water Magic","Creates a duplicate of target allied troop level 1-7. The duplicate can attack but is dispelled if it receives any damage."
"Counterstrike","Basic",4,"Air Magic","Target allied troop can retaliate against one additional attack per round."
"Counterstrike","Advanced",4,"Air Magic","Target allied troop can retaliate against two additional attacks per round."
"Counterstrike","Expert",4,"Air Magic","All allied troops can retaliate against two additional attacks per round."
"Cure","Basic",1,"Water Magic","Removes all negative spell effects from target allied troop and heals it for (10 + (power x 5)) health points."
"Cure","Advanced",1,"Water Magic","Removes all negative spell effects from target allied troop and heals it for (20 + (Power x 5)) health points."
"Cure","Expert",1,"Water Magic","Removes all negative spell effects from all allied troops and heals each for (30 + (Power x 5)) health points."
"Curse","Basic",1,"Fire Magic","The targeted enemy unit delivers minimum damage when attacking."
"Curse","Advanced",1,"Fire Magic","The targeted enemy unit delivers (minimum damage * 0.8 - 1) when attacking. Base damage for each creature cannot be reduced to below 1."
"Curse","Expert",1,"Fire Magic","All enemy units deliver (minimum damage * 0.8 - 1) when attacking. Base damage for each creature cannot be reduced to below 1."
"Death Ripple","Basic",2,"Earth Magic","All creatures (except undead) troops take (10 + (power x 5)) damage."
"Death Ripple","Advanced",2,"Earth Magic","All creatures (except undead) troops take (20 + (power x 5)) damage."
"Death Ripple","Expert",2,"Earth Magic","All creatures (except undead) troops take (30 + (power x 5)) damage."
"Destroy Undead","Basic",3,"Air Magic","All undead creature troops receive ((power x 10) + 10) damage."
"Destroy Undead","Advanced",3,"Air Magic","All undead creature troops receive ((power x 10) + 20) damage."
"Destroy Undead","Expert",3,"Air Magic","All undead creature troops receive ((power x 10) + 50) damage."
"Dimension Door","Basic",5,"Air Magic","Teleports hero to target, unoccupied, visible location on the adventure map. Spell may be cast twice per day and reduces the hero's movement by three tiles for each casting."
"Dimension Door","Advanced",5,"Air Magic","Teleports hero to target, unoccupied, visible location on the adventure map. Spell may be cast three times per day and reduces the hero's movement by three tiles for each casting."
"Dimension Door","Expert",5,"Air Magic","Teleports hero to target, unoccupied, visible location on the adventure map. Spell may be cast four times per day and reduces the hero's movement by two tiles for each casting."
"Disguise","Basic",2,"Air Magic","All of the hero's creature troops are displayed as if they were composed of the most powerful creatures in the hero's army. Troop population numbers are represented normally."
"Disguise","Advanced",2,"Air Magic","All of the hero's creature troops are displayed as if they were composed of the most powerful creatures in the hero's army. Troop population numbers are represented by zeros."
"Disguise","Expert",2,"Air Magic","All of the hero's creature troops are displayed as if they were composed of the most powerful creature in the hero's longest owned town. Troop population numbers are represented normally. "
"Dispel","Basic",1,"Water Magic","Removes all spell effects from target allied creature troop."
"Dispel","Advanced",1,"Water Magic","Removes all spell effects from target allied or enemy creature troop."
"Dispel","Expert",1,"Water Magic","Removes all spell effects from all creatures and the battlefield."
"Disrupting Ray","Basic",2,"Air Magic","Reduces target enemy troop's defense rating by 3."
"Disrupting Ray","Advanced",2,"Air Magic","Reduces target enemy troop's defense rating by 4."
"Disrupting Ray","Expert",2,"Air Magic","Reduces target enemy troop's defense rating by 5."
"Earthquake","Basic",3,"Earth Magic","Does one point of damage to two, random castle walls during siege combat."
"Earthquake","Advanced",3,"Earth Magic","Does one point of damage to three, random castle walls during siege combat."
"Earthquake","Expert",3,"Earth Magic","Does one point of damage to four, random castle walls during siege combat."
"Fire Shield","Basic",4,"Fire Magic","20% of hand-to-hand damage inflicted on target allied troop is counter-inflicted on attackers of the troop."
"Fire Shield","Advanced",4,"Fire Magic","25% of hand-to-hand damage inflicted on target allied troop is counter-inflicted on attackers of the troop."
"Fire Shield","Expert",4,"Fire Magic","30% of hand-to-hand damage inflicted on target allied troop is counter-inflicted on attackers of the troop."
"Fire Wall","Basic",2,"Fire Magic","Two-hex Wall. Damage is (10+ Spell Power*10)."
